"Security Deposit","manual","",""
"Start Date","manual","",""
"End Date","manual","",""
"Service Term","Workflow","",""
"Base Rent","manual ","",""
"Total COGS","workflow / derived","","workflow "
"Increment %","manual","",""
"Increment Frequency","manual","",""
"Contract Acquisition Cost","derived","",""
"Key Handover Date","manual","",""
"Management Fee Per Month","manual","",""
"Payment Cycle","manual","","Prepaid, Postpaid"
"Agreement PDF","workflow","",""
"agreement status","manual","","negotiation, triggered, active "
"pid ","","",""
"merchant","","",""
"LL extra clauses","","",""
"Inventory list","","",""
