"LEAD","","","","","","LANDLORD","","","","","","POC","","","","","","BROKER","","","","","","MANAGEMENT","","","","","","","","","","","","","","","","",""
"Field","Data Type","Validation","NULL Info","Why?","","Field","Data Type","Validation","NULL Info","Why?","","Field","Data Type","Validation","NULL Info","Why?","","Field","Data Type","Validation","NULL Info","Why?","","Field","Data Type","Validation","NULL Info","Why?","","","","","","","","","","","","",""
"Lead Source","Enum (Dropdown)","","NULL","","","Prefix","Enum (Mr/Mrs/Ms/Dr)","","NULL","","","Prefix","Enum (Mr/Mrs/Ms/Dr)","","NULL","","","Prefix","Enum (Mr/Mrs/Ms/Dr)","","NULL","","","Association Name","String","","NOT NULL","Communications","","","","","","","","","","","","",""
"Prefix","Enum (Mr / Mrs / Ms / Dr)","","NULL","","","First Name","String","","NOT NULL","","","First Name","String","","NOT NULL","","","First Name","String","","NOT NULL","","","Management Email","String (Email format)","Email format check","NOT NULL","Communications — Email","","","","","","","","","","","","",""
"First Name","String","","NOT NULL","","","Last Name","String","","NOT NULL","","","Last Name","String","","NOT NULL","","","Last Name","String","","NOT NULL","","","Management Phone","Integer","Phone verification","NOT NULL","Communications — Phone","","","","","","","","","","","","",""
"Last Name","String","","NOT NULL","","","Email","String (Email format)","Email format check","NOT NULL","","","Email","String (Email format)","Email format check","NOT NULL","","","Email","String (Email format)","Email format check","NOT NULL","","","Manager Email","String (Email format)","Email format check","NULL","","","","","","","","","","","","","",""
"Email","String (Email format)","Email format check","NULL","","","Country Code","Enum (Phone country codes)","Pre-defined dropdown","NOT NULL","","","Country Code","Enum (Phone country codes)","Pre-defined dropdown","NOT NULL","","","Country Code","Enum (Phone country codes)","Pre-defined dropdown","NOT NULL","","","Manager Phone","Integer","","NULL","","","","","","","","","","","","","",""
"Country Code","Enum (Phone country codes)","Pre-defined dropdown","NOT NULL","","","Phone No.","Integer","Phone verification check","NOT NULL","","","Phone No.","Integer","Phone verification check","NOT NULL","","","Phone No.","Integer","Phone verification check","NOT NULL","","","","","","","","","","","","","","","","","","","",""
"Phone No.","Integer","Phone verification check","NOT NULL","","","Current City","String","","NULL","","","Current City","String","","NULL","","","Current City","String","","NULL","","","Payment Details","","","","","","","","","","","","","","","","",""
"unique id","","","","source + drill downs","","unique id","","","","","","","","","","","","","","","","","","Beneficiary Name","String","","NULL","Maintenance Payment","","","","","","","","","","","","",""
"Disqualification Reason","enum","","","","","","","","","","","","","","","","","","","","","","","payment mode","","","","","","","","","","","","","","","","",""
"Lost Reason","enum","","","","","Identity Documents","","","","","","Identity Documents","","","","","","Identity Documents","","","","","","Account Number","Integer","","NULL","Maintenance Payment","","","","","","","","","","","","",""
