"222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Object Type","Recurring/One-Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Frequency","Monthly/Quarterly/Bi-Annualy/Annually","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Document","File","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Start Date","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"End Date","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Category Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAINTENANCE","","","","","","WIFI","","","","","","DG (GENERATOR)","","","","","","WATER","","","","","","WATER PURIFIER","","","","","","GAS CONNECTION","","","","","","ELECTRICITY","","","",""
"Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?"
"Amount","Decimal (Currency)","","NOT NULL","","","Account ID","numeric ","","","","","Brand/Product Details","String","","NOT NULL","Record Keeping","","Provider","String","","NOT NULL","Record Keeping","","Type of Purifier","String","","NOT NULL","Record Keeping","","Provider","String","","NOT NULL","Record Keeping","","Provider","String","","NOT NULL","Record Keeping"
"Frequency","Enum (Monthly / Quarterly / Yearly)","","NOT NULL","","","Service Provider","enum","ACT/Airtel/Tata","NOT NULL","Record Keeping","","Capacity","Integer (kVA)","","NOT NULL","Record Keeping","","Account Number","Integer","","NULL","Record Keeping","","ID / Serial No.","String (Alphanumeric)","","NOT NULL","Record Keeping","","Type of Connection","String","","NOT NULL","Record Keeping","","Type of Connection","String","","NOT NULL","Record Keeping"
"Cutoff Date","Date","","NOT NULL","","","SSID","String (Alphanumeric)","","NOT NULL","Record Keeping","","Maintenance Schedule","Enum (Dropdown)","","NULL","To align for servicing","","Password","String (Alphanumeric)","Encrypted / masked storage","NULL","Record Keeping","","Subscription","Enum (Dropdown)","","NOT NULL","Record Keeping","","Account Number","Integer","","NULL","Record Keeping","","Account Number","Integer","","NULL","Record Keeping"
"Cycle","Enum (Prepaid / Postpaid)","","NOT NULL","","","Password","String (Alphanumeric)","Encrypted / masked storage","NOT NULL","Record Keeping","","Fuel Tank Capacity","Numeric","","NOT NULL","By LL or by Flent","","Ownership","Enum (Dropdown)","","NOT NULL","Record Keeping","","Ownership","String","","NOT NULL","Record Keeping","","Password","String (Alphanumeric)","Encrypted / masked storage","NULL","Record Keeping","","Password","String (Alphanumeric)","Encrypted / masked storage","NULL","Record Keeping"
"Payment To Landlord","Boolean (Yes / No)","","NOT NULL","","","Registered Number","Integer","","NULL","Record Keeping","","Refill unit in Litres","4","","NOT NULL","By LL or by Flent","","Payments / Dues","Decimal (Currency)","For clearing outstanding dues","NULL","Clearing dues","","Payment To Landlord","Boolean (Yes / No)","","NOT NULL","","","Ownership","Enum (Dropdown)","","NOT NULL","Record Keeping","","Ownership","Enum (Dropdown)","","NOT NULL","Record Keeping"
"Collection From Tenant","Boolean (Yes / No)","","NOT NULL","","","Ownership","String","Product/CX","NOT NULL","Record Keeping","","Amount","Boolean (Yes / No)","","NOT NULL","","","Payment To Landlord","Boolean (Yes / No)","","NOT NULL","","","Collection From Tenant","Boolean (Yes / No)","","NOT NULL","","","Payment To Landlord","Boolean (Yes / No)","","NOT NULL","","","Payment To Landlord","Boolean (Yes / No)","","NOT NULL",""
"","","","","","","Amount ","numeric ","","NULL","Payments","","Collection From Tenant","Boolean (Yes / No)","","NOT NULL","","","Collection From Tenant","Boolean (Yes / No)","","NOT NULL","","","","","","","","","Collection From Tenant","Boolean (Yes / No)","","NOT NULL","","","Collection From Tenant","Boolean (Yes / No)","","NOT NULL",""
"","","","","","","Collection From Tenant","Boolean (Yes / No)","","NOT NULL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","⚠ Open Question — One-time vs Recurring matrix","","Requires further discussion","","Billing clarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
