"PID — Property & Block Field Definitions","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEAD","","","","","","ACTIVE BLOCK","","","","","","CHURNED BLOCK","","","","","","","","","","","","",""
"Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","Field","Data Type","Validation / Notes","NULL Info","Why?","","","","","","","","",""
"PPID No.","String (Alphanumeric)","","NOT NULL","","","Property Details","","","","","","Deposit Refunded?","Boolean (Yes / No)","","NOT NULL","","","","","","","","","",""
"Date Added","DateTime","Auto-populated on creation","NOT NULL","","","PID No.","String (Alphanumeric)","","NOT NULL","","","","","","","","","","","","","","","",""
"No. of Units","Integer","Min: 1","NOT NULL","","","House No.","String (Alphanumeric)","","NULL","","","Exit Cost OPX","Decimal (Currency)","Reasons + invoices required","NULL","","","","","","","","","",""
"Deal Type","Enum (Residence Lead/Enterprise Lead)","","NOT NULL","","","Property Type","Enum (Dropdown)","","NOT NULL","","","Deposit Deductions","Decimal (Currency)","Reasons + invoices required","NULL","","","","","","","","","",""
"No. of Apartments","Integer","","NULL","","","No. of Units","Integer","","NOT NULL","","","","","","","","","","","","","","","",""
"Property Type","Enum (Residence Lead/Enterprise Lead)","","NOT NULL","","","Tier","String (Alphanumeric)","","NULL","","","","","","","","","","","","","","","",""
"Cluster","Enum (HSR, KRM, IDR, MHD, BLD, MGR, HBL, WHF)","","NOT NULL","","","Floor","String (Alphanumeric)","","NULL","","","","","","","","","","","","","","","",""
"Deal Owner","Enum (Dropdown)","","NOT NULL","","","Google Map Location","String (URL)","Valid Google Maps URL","NOT NULL","","","","","","","","","","","","","","","",""
"Furnishing","Enum (Unfurnished/Semi-Furnished/ Partially Furnished/Fully Furnished)","","NULL","","","Address","String (Alphanumeric)","","NOT NULL","","","","","","","","","","","","","","","",""
"Expected Rent","Decimal (Currency)","","NOT NULL","","","Building / Society","String (Alphanumeric)","","NOT NULL","","","","","","","","","","","","","","","",""
"Google Map Location","String (URL)","Valid Google Maps URL","NULL","","","Cluster","Enum (Dropdown)","","NOT NULL","","","","","","","","","","","","","","","",""
"Deal Stage","Enum (To be contacted (POC) / To be contacted / In touch / Landlord Interested / Qualified / Evaluation / Negotiations Started / Offer Extended / Under Contract / To nurture (Sales))","","NOT NULL","","","Parking Type","Multi-select Enum","Multiple selection allowed","NULL","","","","","","","","","","","","","","","",""
"Disqualification Reason","enum (To nurture (Sales) / Rented Out / Family Only / Not Flent Standard / Gone Cold / Rent too high / Landlord not interested / Not contactable / Gone Cold / Broker Gated / Not interested in company / To Nurture (Marketing) / stale / Flent not confident / To be contacted (Sales) / single room posting / Unserviceable / Disq Reason / Tenant Gated / Flent listing / Controlling landlord / Duplicate Lead / Paused Expansion)","","NULL","","","Parking Number","String (Alphanumeric)","","NULL","","","","","","","","","","","","","","","",""
"Lost Reason","enum","","NULL","","","Parking Spot","File Upload (Image)","","NULL","","","","","","","","","","","","","","","",""
"Exploratory Visit (Health Check)","integer","Health Check","","","","Power Backup","Enum (Dropdown)","Inherent power backup type","NULL","","","","","","","","","","","","","","","",""
"Potential Report","pdf","","","","","Water Source","Multi-select Enum","Multiple selection allowed","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Residence Context","","","","","","","","","","","","","","","","","","",""
"","","","","","","Restrictions","Enum (Dropdown)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Usage Information","String (Long text)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Other Notes","String (Long text)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Furniture Movement","Enum (Dropdown)","Allowance type","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Fixture Costs","","","","","","","","","","","","","","","","","","",""
"","","","","","","Final Approved Amt.","Decimal (Currency)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Final Invoice","File Upload (PDF)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Work Proof","File Upload (Image)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Payment Collection","Enum (Upfront / Straight Deduction / EMI)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","EMI Period ","Integer + Decimal (Currency)","Required if EMI selected","NULL","Conditional on EMI","","","","","","","","","","","","","","",""
"","","","","","","Opex Collections","Decimal (Currency)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Emi period","Enum ","","","","","","","","","","","","","","","","","",""
"","","","","","","Initial Estimate","Integer","","","","","","","","","","","","","","","","","",""
"","","","","","","Initial Estimate File","Pdf","","","","","","","","","","","","","","","","","",""
"","","","","","","Property Health Score","Integer","","","","","","","","","","","","","","","","","",""
"","","","","","","Before Documentation","Link","","","","","","","","","","","","","","","","","",""
"","","","","","","Property Health Report","Pdf","","","","","","","","","","","","","","","","","",""
"","","","","","","After Documentation","Link","","","","","","","","","","","","","","","","","",""
"","","","","","","Inventory List","","","","","","","","","","","","","","","","","","",""
"","","","","","","Loose Furniture List","String (Alphanumeric)","Include health condition","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Appliance List","String (Alphanumeric)","Include health condition","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Fixture List","String (Alphanumeric)","Include health condition","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Built-in Furniture","String (Alphanumeric)","Include health condition","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Other Belongings","String (Alphanumeric)","Include health condition","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Key Count","String (Alphanumeric)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Documentation","File Upload (Image + Video)","Voiceover required","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Building Context","","","","","","","","","","","","","","","","","","",""
"","","","","","","Prop. Mgmt. App","Enum (Dropdown)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Utilities App","Enum (Dropdown)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Rules & Regulations","String (Long text)","pdf","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Garbage Disposal","String (Alphanumeric)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Timing Restrictions","String (Alphanumeric)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Move-in/out Formalities","String (Long text)","","NULL","","","","","","","","","","","","","","","",""
"","","","","",""," move-out fee","numeric","","","","","","","","","","","","","","","","","",""
"","","","","","","move-in fee","numeric","","","","","","","","","","","","","","","","","",""
"","","","","","","Intrinsic Qualities","","","","","","","","","","","","","","","","","","",""
"","","","","","","Furnishing Status","Enum (Dropdown)","","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Payment Deadlines","","","","","","","","","","","","","","","","","","",""
"","","","","","","Rent Deadline","String (Alphanumeric)","e.g. Day of month","NOT NULL","","","","","","","","","","","","","","","",""
"","","","","","","Maintenance Deadline","String (Alphanumeric)","e.g. Day of month","NULL","","","","","","","","","","","","","","","",""
"","","","","","","Overheads Deadline","String (Alphanumeric)","e.g. Day of month","NULL","","","","","","","","","","","","","","","",""
"","","","","","","PoC","","","","","","","","","","","","","","","","","","",""
"","","","","","","Deal Owner","String","","NOT NULL","","","","","","","","","","","","","","","",""
"","","","","","","PSM Owner","String","","NOT NULL","","","","","","","","","","","","","","","",""
